antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Cluster
"frozenset({'candle', 'sign'})","frozenset({'mug', 'tin'})",0.10040160642570281,0.12349397590361445,0.03614457831325301,0.36,2.915121951219512,1.0,0.023745584748633086,1.3695406626506024,0.7302827380952381,0.1925133689839572,0.2698281786941581,0.3263414634146341,0
frozenset({'lunch box'}),"frozenset({'mug', 'bag'})",0.0963855421686747,0.1144578313253012,0.0321285140562249,0.33333333333333326,2.9122807017543857,1.0,0.021096433928485023,1.328313253012048,0.7266666666666667,0.1797752808988764,0.24716553287981852,0.3070175438596491,0
"frozenset({'mug', 'box'})","frozenset({'tin', 'hot water bottle'})",0.09136546184738956,0.11345381526104417,0.030120481927710843,0.32967032967032966,2.9057667995721093,1.0,0.01975472169803713,1.3225525051023765,0.721804788213628,0.17241379310344826,0.24388635147412044,0.29757852766702325,0
frozenset({'jam making'}),frozenset({'cake tins'}),0.12048192771084337,0.12048192771084337,0.04216867469879518,0.35,2.905,1.0,0.027652779793874288,1.3531047265987026,0.74559686888454,0.2121212121212121,0.260958904109589,0.35,0
frozenset({'cake tins'}),frozenset({'jam making'}),0.12048192771084337,0.12048192771084337,0.04216867469879518,0.35,2.905,1.0,0.027652779793874288,1.3531047265987026,0.74559686888454,0.2121212121212121,0.260958904109589,0.35,0
frozenset({'lunch box'}),"frozenset({'bag', 'box'})",0.0963855421686747,0.13353413654618473,0.03714859437751004,0.38541666666666663,2.8862781954887216,1.0,0.024277834228480184,1.4098427608740045,0.7232432432432433,0.19270833333333331,0.29070104287369636,0.33180607769423553,0
"frozenset({'mug', 'sign'})","frozenset({'tin', 'hot water bottle'})",0.10742971887550201,0.11345381526104417,0.035140562248995984,0.32710280373831774,2.8831362170209247,1.0,0.02295225077014887,1.3175061356537259,0.7317692431303231,0.18918918918918917,0.2409902520083403,0.318418658506327,0
"frozenset({'tin', 'hot water bottle'})","frozenset({'mug', 'sign'})",0.11345381526104417,0.10742971887550201,0.035140562248995984,0.3097345132743363,2.8831362170209247,1.0,0.02295225077014887,1.2930825867572857,0.7367416275683546,0.18918918918918917,0.2266541903501001,0.318418658506327,0
"frozenset({'t-lights', 'box'})","frozenset({'candle', 'bag'})",0.09538152610441768,0.12449799196787148,0.03413654618473896,0.35789473684210527,2.874702886247878,1.0,0.02226173771390784,1.363486733820528,0.720898348240517,0.1837837837837838,0.26658619024625785,0.316044142614601,0
"frozenset({'t-lights', 'box'})","frozenset({'candle', 'tin'})",0.09538152610441768,0.11847389558232932,0.0321285140562249,0.33684210526315783,2.843175735950044,1.0,0.0208282930920469,1.3292853955504556,0.7166342952275249,0.17679558011049723,0.24771610118690798,0.30401427297056194,0
"frozenset({'mug', 'sign'})","frozenset({'candle', 'tin'})",0.10742971887550201,0.11847389558232932,0.03614457831325301,0.3364485981308411,2.8398542689687942,1.0,0.02341696101675779,1.3284970869393065,0.7258467691538557,0.19047619047619047,0.24726970813020244,0.32076667194677644,0
"frozenset({'candle', 'tin'})","frozenset({'mug', 'sign'})",0.11847389558232932,0.10742971887550201,0.03614457831325301,0.30508474576271183,2.8398542689687942,1.0,0.02341696101675779,1.2844304045450092,0.7349405213869906,0.19047619047619047,0.22144477702998985,0.32076667194677644,0
frozenset({'lunch box'}),"frozenset({'bag', 'hot water bottle'})",0.0963855421686747,0.1214859437751004,0.03313253012048193,0.34375,2.8295454545454546,1.0,0.021423041563845745,1.3386880856760375,0.7155555555555555,0.17934782608695654,0.25299999999999995,0.30823863636363635,0
"frozenset({'box', 'sign'})","frozenset({'candle', 'tin'})",0.0963855421686747,0.11847389558232932,0.0321285140562249,0.33333333333333326,2.8135593220338975,1.0,0.02070934339768713,1.3222891566265058,0.7133333333333333,0.1758241758241758,0.2437357630979498,0.30225988700564965,0
"frozenset({'box', 'tin'})","frozenset({'bag', 'sign'})",0.1285140562248996,0.1285140562248996,0.04618473895582329,0.359375,2.7963867187500004,1.0,0.02966887630844664,1.3603683024782054,0.7371268282909238,0.21904761904761905,0.2649049539170507,0.359375,0
"frozenset({'bag', 'sign'})","frozenset({'box', 'tin'})",0.1285140562248996,0.1285140562248996,0.04618473895582329,0.359375,2.7963867187500004,1.0,0.02966887630844664,1.3603683024782054,0.7371268282909238,0.21904761904761905,0.2649049539170507,0.359375,0
"frozenset({'bag', 'box', 't-lights'})",frozenset({'candle'}),0.04618473895582329,0.2660642570281124,0.03413654618473896,0.7391304347826088,2.7780147662018053,1.0,0.021848437928420512,2.813420348058903,0.6710216718266255,0.12274368231046931,0.644560756557426,0.43371616078753084,0
"frozenset({'box', 'sign'})","frozenset({'bag', 'tin'})",0.0963855421686747,0.17269076305220885,0.04618473895582329,0.47916666666666663,2.774709302325581,1.0,0.029539846131514003,1.5884337349397588,0.7078260869565217,0.20720720720720717,0.3704490291262135,0.3733042635658914,0
"frozenset({'mug', 'box'})","frozenset({'tin', 'sign'})",0.09136546184738956,0.15060240963855423,0.03815261044176707,0.4175824175824176,2.7727472527472528,1.0,0.024392751729810813,1.4583996362809732,0.7036347775516139,0.18719211822660098,0.3143168887849739,0.3354578754578755,0
"frozenset({'mug', 'sign'})","frozenset({'tin', 'box'})",0.10742971887550201,0.1285140562248996,0.03815261044176707,0.3551401869158879,2.7634345794392527,1.0,0.02434638150997565,1.351434724404866,0.7149369486708899,0.19289340101522845,0.26004565226753956,0.32600759345794394,0
frozenset({'cake stand'}),frozenset({'cake tins'}),0.10040160642570281,0.12048192771084337,0.03313253012048193,0.33,2.7390000000000003,1.0,0.021035951033047857,1.3127135407300847,0.7057629870129871,0.17647058823529413,0.23821917808219178,0.3025,0
"frozenset({'box', 'sign'})","frozenset({'mug', 'bag'})",0.0963855421686747,0.1144578313253012,0.030120481927710843,0.3125,2.730263157894737,1.0,0.01908840179997097,1.2880613362541073,0.7013333333333334,0.16666666666666663,0.22363945578231295,0.287828947368421,0
"frozenset({'mug', 'tin'})","frozenset({'bag', 'sign'})",0.12349397590361445,0.1285140562248996,0.04317269076305221,0.34959349593495936,2.720274390243903,1.0,0.02730197900033871,1.3399096385542169,0.7214896507632064,0.20673076923076927,0.2536810160728336,0.3427654979674797,0
"frozenset({'bag', 'sign'})","frozenset({'mug', 'tin'})",0.1285140562248996,0.12349397590361445,0.04317269076305221,0.33593750000000006,2.720274390243903,1.0,0.02730197900033871,1.3199149539333805,0.7256456971385704,0.20673076923076927,0.2423754295532647,0.3427654979674797,0
"frozenset({'candle', 'hot water bottle'})",frozenset({'ribbons'}),0.09337349397590361,0.13453815261044177,0.03413654618473896,0.3655913978494624,2.71738083774675,1.0,0.021574248802438672,1.36420257300388,0.6970881375806137,0.1761658031088083,0.266971035102163,0.3096613705665222,0
"frozenset({'hand warmer', 'tin'})",frozenset({'hot water bottle'}),0.05923694779116466,0.26907630522088355,0.04317269076305221,0.728813559322034,2.708575765241589,1.0,0.027233431718843244,2.6952811244979924,0.6705219527934277,0.15140845070422534,0.6289811883032222,0.4446306602580319,0
"frozenset({'sign', 'hot water bottle'})","frozenset({'mug', 'tin'})",0.10542168674698796,0.12349397590361445,0.035140562248995984,0.3333333333333333,2.6991869918699187,1.0,0.022121619006145062,1.3147590361445782,0.7037037037037037,0.18134715025906734,0.23940435280641464,0.3089430894308943,0
"frozenset({'candle', 'tin'})","frozenset({'t-lights', 'sign'})",0.11847389558232932,0.12248995983935743,0.0391566265060241,0.3305084745762712,2.6982495137538205,1.0,0.024644763794132354,1.310711199227289,0.7139769873255066,0.19402985074626866,0.23705542411666602,0.3250903028619061,0
"frozenset({'t-lights', 'sign'})","frozenset({'candle', 'tin'})",0.12248995983935743,0.11847389558232932,0.0391566265060241,0.319672131147541,2.6982495137538205,1.0,0.024644763794132354,1.2957371655295882,0.7172446165581177,0.19402985074626866,0.2282385451286456,0.3250903028619061,0
"frozenset({'t-lights', 'hot water bottle'})",frozenset({'hand warmer'}),0.13453815261044177,0.14156626506024098,0.05120481927710843,0.3805970149253731,2.6884725309622097,1.0,0.03215875550394348,1.3859050660473218,0.7256721714207724,0.22767857142857142,0.2784498559832417,0.3711495712924738,0
frozenset({'hand warmer'}),"frozenset({'t-lights', 'hot water bottle'})",0.14156626506024098,0.13453815261044177,0.05120481927710843,0.36170212765957444,2.6884725309622097,1.0,0.03215875550394348,1.3558902275769744,0.7316133470932232,0.22767857142857142,0.2624771683862368,0.3711495712924738,0
"frozenset({'tin', 'hot water bottle'})",frozenset({'hand warmer'}),0.11345381526104417,0.14156626506024098,0.04317269076305221,0.38053097345132747,2.6880060252306532,1.0,0.027111457879711618,1.3857573149741826,0.708341015038584,0.20379146919431282,0.2783729234590902,0.34274775622920983,0
frozenset({'hand warmer'}),"frozenset({'tin', 'hot water bottle'})",0.14156626506024098,0.11345381526104417,0.04317269076305221,0.3049645390070922,2.6880060252306532,1.0,0.027111457879711618,1.2755409392672732,0.7315381476948184,0.20379146919431282,0.21601889111105757,0.34274775622920983,0
"frozenset({'candle', 'box'})","frozenset({'bag', 't-lights'})",0.09538152610441768,0.13353413654618473,0.03413654618473896,0.35789473684210527,2.6801741195093,1.0,0.02139985645392816,1.3494140496411877,0.6929881830645687,0.17525773195876287,0.25893761053851316,0.30676691729323313,0
frozenset({'feltcraft cushion'}),frozenset({'box'}),0.05421686746987952,0.23493975903614459,0.03413654618473896,0.6296296296296297,2.679962013295347,1.0,0.021398848405670877,2.06566265060241,0.6627950543274634,0.13385826771653545,0.515893846602508,0.3874643874643875,0
frozenset({'lunch box'}),"frozenset({'candle', 'bag'})",0.0963855421686747,0.12449799196787148,0.0321285140562249,0.33333333333333326,2.677419354838709,1.0,0.020128707601490298,1.3132530120481927,0.6933333333333334,0.17021276595744678,0.23853211009174305,0.29569892473118276,0
"frozenset({'hand warmer', 'mug'})",frozenset({'hot water bottle'}),0.050200803212851405,0.26907630522088355,0.03614457831325301,0.72,2.6758208955223877,1.0,0.022636731665618297,2.6104417670682727,0.6593845431054733,0.1276595744680851,0.6169230769230769,0.42716417910447757,0
frozenset({'lunch box'}),"frozenset({'tin', 'box'})",0.0963855421686747,0.1285140562248996,0.03313253012048193,0.34375,2.6748046875000004,1.0,0.02074563313494944,1.327978580990629,0.692929292929293,0.17277486910994766,0.24697580645161293,0.30078125,0
"frozenset({'candle', 'tin'})","frozenset({'bag', 't-lights'})",0.11847389558232932,0.13353413654618473,0.04216867469879518,0.3559322033898305,2.665477252453167,1.0,0.026348365348945982,1.345302261678292,0.7088078967350038,0.20095693779904303,0.25667262407447416,0.33586083853702053,0
"frozenset({'bag', 't-lights'})","frozenset({'candle', 'tin'})",0.13353413654618473,0.11847389558232932,0.04216867469879518,0.3157894736842105,2.6654772524531665,1.0,0.026348365348945982,1.2883843064565956,0.7211278485901892,0.20095693779904303,0.22383407265315908,0.33586083853702053,0
"frozenset({'candle', 'mug'})","frozenset({'t-lights', 'sign'})",0.09236947791164658,0.12248995983935743,0.030120481927710843,0.32608695652173914,2.662152530292231,1.0,0.01880614828793084,1.3021116724964374,0.6879056047197641,0.16304347826086954,0.23201671475475077,0.2859942979330007,0
"frozenset({'tin', 'box'})","frozenset({'mug', 'bag'})",0.1285140562248996,0.1144578313253012,0.0391566265060241,0.30468750000000006,2.662006578947369,1.0,0.024447186335704266,1.2735887369703534,0.7164126196384262,0.19211822660098524,0.2148171768707484,0.3233963815789474,0
"frozenset({'mug', 'bag'})","frozenset({'tin', 'box'})",0.1144578313253012,0.1285140562248996,0.0391566265060241,0.34210526315789475,2.6620065789473686,1.0,0.024447186335704266,1.3246586345381524,0.7050409907552766,0.19211822660098524,0.24508852777104054,0.3233963815789474,0
"frozenset({'candle', 'box'})",frozenset({'ribbons'}),0.09538152610441768,0.13453815261044177,0.03413654618473896,0.35789473684210527,2.660172820109976,1.0,0.021304091869485973,1.3478504180657054,0.6898870536005743,0.17435897435897435,0.258077909390646,0.3058130400628437,0
"frozenset({'candle', 'hot water bottle'})",frozenset({'hand warmer'}),0.09337349397590361,0.14156626506024098,0.035140562248995984,0.3763440860215054,2.6584305650880804,1.0,0.0219220254512024,1.376454092230993,0.6880873279544375,0.1758793969849246,0.27349556687417464,0.3122855181880576,0
"frozenset({'lunch box', 'tin'})",frozenset({'box'}),0.05321285140562249,0.23493975903614459,0.03313253012048193,0.6226415094339622,2.65021770682148,1.0,0.020630715633618815,2.0274096385542166,0.6576689482309843,0.1299212598425197,0.5067597682365176,0.38183357522980166,0
"frozenset({'hand warmer', 'box'})",frozenset({'hot water bottle'}),0.05220883534136546,0.26907630522088355,0.03714859437751004,0.7115384615384616,2.6443742824339838,1.0,0.023100433863969934,2.533868808567604,0.6560925332111772,0.13074204946996465,0.6053465765004227,0.42479908151549944,0
"frozenset({'hand warmer', 't-lights'})",frozenset({'hot water bottle'}),0.07228915662650602,0.26907630522088355,0.05120481927710843,0.7083333333333334,2.6324626865671643,1.0,0.031753520104514446,2.5060240963855422,0.6684491978609627,0.17647058823529407,0.6009615384615385,0.44931592039800994,0
"frozenset({'bag', 'hot water bottle'})",frozenset({'hand warmer'}),0.1214859437751004,0.14156626506024098,0.045180722891566265,0.371900826446281,2.6270441357481973,1.0,0.02798241157400687,1.3667168674698795,0.7049904761904762,0.20737327188940094,0.2683195592286501,0.3455248813082469,0
frozenset({'hand warmer'}),"frozenset({'bag', 'hot water bottle'})",0.14156626506024098,0.1214859437751004,0.045180722891566265,0.3191489361702127,2.6270441357481973,1.0,0.02798241157400687,1.2903175200803212,0.7214814814814814,0.20737327188940094,0.22499696048632212,0.3455248813082469,0
"frozenset({'candle', 'mug'})","frozenset({'bag', 't-lights'})",0.09236947791164658,0.13353413654618473,0.0321285140562249,0.34782608695652173,2.6047728015691405,1.0,0.019794035580071288,1.3285809906291834,0.6787887168141593,0.16580310880829016,0.24731724520126958,0.2942137953579601,0
"frozenset({'candle', 'mug', 'tin'})",frozenset({'sign'}),0.05120481927710843,0.2710843373493976,0.03614457831325301,0.7058823529411765,2.6039215686274515,1.0,0.022263753810422414,2.4783132530120486,0.6492063492063492,0.12631578947368421,0.5964997569275645,0.4196078431372549,0
"frozenset({'candle', 'mug'})","frozenset({'tin', 'sign'})",0.09236947791164658,0.15060240963855423,0.03614457831325301,0.391304347826087,2.5982608695652174,1.0,0.022233512362703826,1.3954388984509465,0.6777286135693215,0.17475728155339804,0.2833795868023435,0.31565217391304345,0
"frozenset({'tin', 'box', 'hot water bottle'})",frozenset({'mug'}),0.050200803212851405,0.23092369477911648,0.030120481927710843,0.6,2.598260869565217,1.0,0.018527926968919854,1.9226907630522088,0.6476391825229033,0.12,0.47989556135770234,0.3652173913043478,0
"frozenset({'mug', 'hot water bottle'})",frozenset({'hand warmer'}),0.09839357429718876,0.14156626506024098,0.03614457831325301,0.36734693877551017,2.5948762483716887,1.0,0.02221536749407267,1.3568791294209095,0.6817000742390497,0.1773399014778325,0.26301467955603286,0.31133304385584015,0
"frozenset({'mug', 't-lights'})","frozenset({'candle', 'tin'})",0.10140562248995984,0.11847389558232932,0.03112449799196787,0.3069306930693069,2.5907031381104213,1.0,0.019110578861631262,1.2719162363740677,0.6832942872589656,0.16489361702127658,0.21378470421073997,0.2848212787380433,0
"frozenset({'mug', 'napkin'})",frozenset({'sign'}),0.04718875502008032,0.2710843373493976,0.03313253012048193,0.7021276595744682,2.590070921985816,1.0,0.020340397735520398,2.4470740103270234,0.644314589520069,0.11619718309859159,0.591348689994725,0.4121749408983452,0
frozenset({'lunch box'}),frozenset({'napkin'}),0.0963855421686747,0.12550200803212852,0.03112449799196787,0.32291666666666663,2.5729999999999995,1.0,0.019027918904533793,1.2915662650602409,0.6765591397849461,0.16315789473684209,0.22574626865671638,0.2854583333333333,0
"frozenset({'bag', 'sign'})","frozenset({'candle', 'tin'})",0.1285140562248996,0.11847389558232932,0.0391566265060241,0.30468750000000006,2.5717690677966107,1.0,0.023931065627973744,1.267812824331032,0.7012879593524755,0.1884057971014493,0.211240034168565,0.3175979872881356,0
"frozenset({'candle', 'tin'})","frozenset({'bag', 'sign'})",0.11847389558232932,0.1285140562248996,0.0391566265060241,0.3305084745762712,2.5717690677966103,1.0,0.023931065627973744,1.3017131818412893,0.6933006249634951,0.1884057971014493,0.2317816136842928,0.3175979872881356,0
"frozenset({'sign', 'tin', 'hot water bottle'})",frozenset({'mug'}),0.05923694779116466,0.23092369477911648,0.035140562248995984,0.5932203389830508,2.568901989683124,1.0,0.021461347397622618,1.8906459170013385,0.6491843268790974,0.1377952755905512,0.4710802318891888,0.37269712601326455,0
"frozenset({'mug', 'box'})","frozenset({'bag', 'sign'})",0.09136546184738956,0.1285140562248996,0.030120481927710843,0.32967032967032966,2.5652472527472527,1.0,0.018378735826841505,1.3000855882546578,0.6715285451197054,0.15873015873015875,0.23081987137286678,0.28202266483516486,0
"frozenset({'box', 'sign'})",frozenset({'pan'}),0.0963855421686747,0.13855421686746988,0.03413654618473896,0.3541666666666667,2.556159420289855,1.0,0.020781922872211738,1.33385153517295,0.6737254901960784,0.17,0.2502913752913753,0.3002717391304348,0
"frozenset({'mug', 'bag', 'tin'})",frozenset({'box'}),0.06526104417670683,0.23493975903614459,0.0391566265060241,0.6,2.5538461538461537,1.0,0.023824212512701406,1.9126506024096384,0.6509129967776585,0.15,0.4771653543307086,0.3833333333333333,0
"frozenset({'candle', 'hand warmer'})",frozenset({'hot water bottle'}),0.05120481927710843,0.26907630522088355,0.035140562248995984,0.6862745098039216,2.5504828797190515,1.0,0.021362558668408575,2.3298192771084336,0.6407256235827665,0.12323943661971831,0.5707821590174531,0.40843576236464735,0
"frozenset({'mug', 't-lights'})","frozenset({'candle', 'bag'})",0.10140562248995984,0.12449799196787148,0.0321285140562249,0.31683168316831684,2.5448738422229322,1.0,0.01950371768197287,1.281531924800652,0.6755586592178772,0.16580310880829016,0.2196838949950041,0.28744809964867457,0
frozenset({'natural slate'}),frozenset({'heart wicker'}),0.08734939759036145,0.14056224899598393,0.03112449799196787,0.3563218390804597,2.534975369458128,1.0,0.018846470218222285,1.3351979345955247,0.6634727988927924,0.15816326530612243,0.25104737350950684,0.2888752052545156,0
"frozenset({'tin', 'box', 'sign'})",frozenset({'mug'}),0.06526104417670683,0.23092369477911648,0.03815261044176707,0.5846153846153846,2.531638795986622,1.0,0.023082288995338783,1.8514799940502753,0.647238396743739,0.14785992217898836,0.4598915444868448,0.37491638795986626,0
frozenset({'pen'}),frozenset({'pencils'}),0.09136546184738956,0.13052208835341367,0.030120481927710843,0.32967032967032966,2.5257819103972947,1.0,0.01819527104401542,1.2970899993416285,0.6648250460405156,0.15706806282722513,0.229043473847169,0.2802197802197802,0
"frozenset({'pan', 'tin'})",frozenset({'box'}),0.06626506024096386,0.23493975903614459,0.0391566265060241,0.5909090909090908,2.5151515151515147,1.0,0.023588329220496446,1.8701472556894239,0.6451612903225807,0.14942528735632182,0.46528274874731557,0.37878787878787873,0
"frozenset({'candle', 'tin', 'sign'})",frozenset({'mug'}),0.06224899598393574,0.23092369477911648,0.03614457831325301,0.5806451612903226,2.514446002805049,1.0,0.021769810164352185,1.8339511893728764,0.6422793242921723,0.140625,0.45472921755242995,0.3685834502103787,0
"frozenset({'candle', 'sign'})","frozenset({'tin', 't-lights'})",0.10040160642570281,0.15562248995983935,0.0391566265060241,0.39,2.5060645161290322,1.0,0.02353187851808842,1.3842254262953455,0.6680402930402931,0.18055555555555558,0.2775743162901308,0.3208064516129032,0
"frozenset({'ribbons', 'box'})",frozenset({'candle'}),0.05120481927710843,0.2660642570281124,0.03413654618473896,0.6666666666666667,2.505660377358491,1.0,0.02051277398751633,2.2018072289156634,0.6333333333333333,0.12056737588652484,0.545827633378933,0.39748427672955977,0
"frozenset({'mug', 'bag', 't-lights'})",frozenset({'candle'}),0.04819277108433735,0.2660642570281124,0.0321285140562249,0.6666666666666665,2.50566037735849,1.0,0.01930614022354478,2.2018072289156616,0.6313291139240507,0.11387900355871887,0.5458276333789328,0.3937106918238993,0
"frozenset({'mug', 'bag'})","frozenset({'tin', 'sign'})",0.1144578313253012,0.15060240963855423,0.04317269076305221,0.3771929824561404,2.504561403508772,1.0,0.025935065563458655,1.363821483115561,0.6783736750514159,0.19457013574660634,0.2667662062958816,0.3319298245614035,0
"frozenset({'candle', 'sign'})","frozenset({'tin', 'box'})",0.10040160642570281,0.1285140562248996,0.0321285140562249,0.31999999999999995,2.4899999999999998,1.0,0.019225496362961884,1.2815969761398533,0.6651785714285714,0.16326530612244897,0.21972350230414744,0.285,0
"frozenset({'mug', 'box'})","frozenset({'bag', 'tin'})",0.09136546184738956,0.17269076305220885,0.0391566265060241,0.4285714285714286,2.4817275747508307,1.0,0.02337865518298092,1.4477911646586346,0.6570902394106815,0.17410714285714285,0.30929264909847437,0.3276578073089701,0
frozenset({'building block word'}),frozenset({'heart wicker'}),0.0893574297188755,0.14056224899598393,0.03112449799196787,0.348314606741573,2.4780096308186192,1.0,0.018564216706182156,1.318792411023404,0.6549774157982714,0.15656565656565655,0.24173054709650316,0.2848715890850722,0
"frozenset({'hand warmer', 'sign'})",frozenset({'hot water bottle'}),0.045180722891566265,0.26907630522088355,0.030120481927710843,0.6666666666666666,2.477611940298507,1.0,0.017963419944839597,2.192771084337349,0.6246056782334384,0.10600706713780918,0.5439560439560439,0.38930348258706465,0
frozenset({'jumbo vintage'}),frozenset({'bag'}),0.03413654618473896,0.3684738955823293,0.03112449799196787,0.9117647058823528,2.474435005609873,1.0,0.018546071837551005,7.157295850066925,0.6169271007980685,0.08378378378378379,0.860282427756476,0.49811668536624454,0
frozenset({'lunch box'}),"frozenset({'bag', 'tin'})",0.0963855421686747,0.17269076305220885,0.04116465863453815,0.4270833333333333,2.473110465116279,1.0,0.024519765810228862,1.4440306681270534,0.6591869918699186,0.18061674008810572,0.30749393203883496,0.3327277131782945,0
frozenset({'photo frame'}),"frozenset({'tin', 't-lights'})",0.09136546184738956,0.15562248995983935,0.035140562248995984,0.38461538461538464,2.471464019851117,1.0,0.020922041579974515,1.372113453815261,0.6552486187845304,0.16587677725118483,0.27119729260038417,0.3052109181141439,0
"frozenset({'candle', 'sign'})","frozenset({'bag', 't-lights'})",0.10040160642570281,0.13353413654618473,0.03313253012048193,0.33,2.471278195488722,1.0,0.01972548829857583,1.29323263202062,0.6617965367965368,0.165,0.22674391657010431,0.2890601503759399,0
"frozenset({'mug', 'sign'})",frozenset({'napkin'}),0.10742971887550201,0.12550200803212852,0.03313253012048193,0.30841121495327106,2.457420560747664,1.0,0.01964988467927937,1.2644768262238142,0.6644510345297747,0.1658291457286432,0.2091590931038553,0.28620560747663554,0
"frozenset({'tin', 'hot water bottle'})","frozenset({'t-lights', 'sign'})",0.11345381526104417,0.12248995983935743,0.03413654618473896,0.3008849557522124,2.456405048600029,1.0,0.020239592909791777,1.2551725890905394,0.6687762307641063,0.1691542288557214,0.20329681456430612,0.2897867401711882,0
frozenset({'money bank'}),frozenset({'box'}),0.05923694779116466,0.23493975903614459,0.03413654618473896,0.576271186440678,2.452846588439809,1.0,0.020219431944646055,1.8055421686746989,0.6296063783037228,0.13127413127413126,0.44614973975710664,0.36078516586991166,0
"frozenset({'t-lights', 'sign'})",frozenset({'heart wicker'}),0.12248995983935743,0.14056224899598393,0.04216867469879518,0.3442622950819672,2.4491803278688526,1.0,0.024951210464347347,1.3106425702811244,0.6742944317315026,0.1909090909090909,0.2370154741841581,0.3221311475409836,0
frozenset({'heart wicker'}),"frozenset({'t-lights', 'sign'})",0.14056224899598393,0.12248995983935743,0.04216867469879518,0.3,2.4491803278688526,1.0,0.024951210464347347,1.253585771658061,0.6884735202492211,0.1909090909090909,0.20228832951945078,0.3221311475409836,0
"frozenset({'t-lights', 'hot water bottle'})",frozenset({'ribbons'}),0.13453815261044177,0.13453815261044177,0.04417670682730924,0.3283582089552239,2.440632657607485,1.0,0.026076192319478716,1.2885765283355646,0.6820291077831679,0.19642857142857142,0.22394985628701042,0.3283582089552239,0
frozenset({'ribbons'}),"frozenset({'t-lights', 'hot water bottle'})",0.13453815261044177,0.13453815261044177,0.04417670682730924,0.3283582089552239,2.440632657607485,1.0,0.026076192319478716,1.2885765283355646,0.6820291077831679,0.19642857142857142,0.22394985628701042,0.3283582089552239,0
"frozenset({'mug', 'bag', 'tin'})",frozenset({'sign'}),0.06526104417670683,0.2710843373493976,0.04317269076305221,0.6615384615384615,2.4403418803418804,1.0,0.025481443847679877,2.153614457831325,0.6314290710164114,0.14726027397260275,0.5356643356643357,0.4103988603988604,0
frozenset({'lunch box'}),frozenset({'bowl'}),0.0963855421686747,0.14156626506024098,0.03313253012048193,0.34375,2.428191489361702,1.0,0.019487588909856295,1.3080895008605853,0.6509090909090909,0.16176470588235295,0.23552631578947367,0.2888962765957447,0
